Movie_Name,Tags,Description,Video_trailer,Year,Actors
A Fantastic Woman ,"Drama, Woman*, Latinx","“Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.” (Source: IMDB)",https://www.youtube.com/watch?v=PJHex4ZitgA,2017,Daniela Vega
Beatriz at Dinner,"Comedy, Woman*, Latinx",“A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.” (Source: IMDB),https://www.youtube.com/watch?v=JJweqjIWtbg,2017,Salma Hayek
Beatriz at Dinner,"Drama, Woman*, Latinx",“A holistic medicine practitioner attends a wealthy client's dinner party after her car breaks down.” (Source: IMDB),https://www.youtube.com/watch?v=JJweqjIWtbg,2017,Salma Hayek
Belle ,"Drama, Woman*, Black",“The mixed-race daughter of a Royal Navy Admiral is raised by her aristocratic great-uncle in 18th-century England.” (Source: IMDB),https://www.youtube.com/watch?v=9Qx90wdRD2I,2013,Gugu Mbatha-Raw
Black Panther,"Action, Woman*, Black","“T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.” (Source: IMDB)",https://www.youtube.com/watch?v=xjDjIWPwcPU,2018,"Chadwick Boseman, Michael B. Jordan"
Black Panther,"Action, Man*, Black","“T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.” (Source: IMDB)",https://www.youtube.com/watch?v=xjDjIWPwcPU,2018,"Chadwick Boseman, Michael B. Jordan"
Catfight,"Comedy,  Woman*, Asian",“The rivalry between two former college friends comes to a head when they both attend the same glamorous event.” (Source: IMDB),https://www.youtube.com/watch?v=XlA6XIj1sPk,2016,Sandra Oh
Central Intelligence,"Comedy, Man*, Black","“After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.” (Source: IMDB)",https://www.youtube.com/watch?v=MxEw3elSJ8M,2016,"Dwayne Johnson, Kevin Hart "
Colombiana,"Action,Woman*, Black","“A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.” (Source: IMDB)",https://www.youtube.com/watch?v=HCxPLlFWdFo,2011,Zoe Saldana
Colombiana,"Action,Woman*, Latinx","“A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.” (Source: IMDB)",https://www.youtube.com/watch?v=HCxPLlFWdFo,2011,Zoe Saldana
Crazy Rich Asian,"Comedy, Asian, Woman*","“This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.” (Source: IMDB)",https://www.youtube.com/watch?v=ZQ-YX-5bAs0,2017,Constance Wu
Extinction,"Drama, Man*, Latinx","“A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe from harm” (Source: IMDB)",https://www.youtube.com/watch?v=-ePDPGXkvlw,2018,Michael Peña
Girls Trip,"Comedy, Woman*, Black","“When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush.” (Source: IMDB)",https://www.youtube.com/watch?v=7jE61BzKmgQ,2017," Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish"
Gun Hill Road,"Drama, Woman*, Latinx",“An ex-con returns home to the Bronx after three years in prison to discover his wife estranged and his child exploring a gender transformation that will put the fragile bonds of their family to the test.” (Source: IMDB),https://www.youtube.com/watch?v=O0EMxEK2CN8,2011,Harmony Santana
Harold & Kumar Go to White Castle ,"Comedy, Man*, Asian",“A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.” (Source: IMDB),https://www.youtube.com/watch?v=cwP5E15VzRM,2004,"John Cho, Kal Penn"
How to be a Latin Lover,"Comedy, Man*, Latinx","“Finding himself dumped after 25 years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.” (Source: IMDB)",https://www.youtube.com/watch?v=--9zIzLfpzo,2017,Eugenio Derbez
Jumanji: Welcome to the Jungle,"Action, Man*, Black","“Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.” (Source: IMDB)",https://www.youtube.com/watch?v=2QKg5SZ_35I,2017,"Dwayne Johnson, Kevin Hart "
Moonlight,"Drama, Man*, Black","“A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.” (Source: IMDB)",https://www.youtube.com/watch?v=9NJj12tJzqc,2016,"Mahershala Ali, Alex R. Hibbert, Ashton Sanders, Trevante Rhodes"
None,"Action, Asian, Trans","“Sorry! There were some combinations we just couldn’t find. For example, not a single action movie with a trans lead of any ethnicity, including white, showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)",,,
None,"Action, Black, Trans","“Sorry! There were some combinations we just couldn’t find. For example, not a single action movie with a trans lead of any ethnicity, including white, showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)",,,
None,"Comedy, Asian, Trans","“Sorry! There were some combinations we just couldn’t find. For example, not a single comedy with an Asian trans lead showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)",,,
None,"Drama, Woman*, Asian","“Sorry! There were some combinations we just couldn’t find. For example, not a single drama with an Asian female lead showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)", ,,
None,"Drama, Trans, Asian","“Sorry! There were some combinations we just couldn’t find. For example, not a single drama with an Asian trans lead showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)", ,,
None,"Drama, Trans, Black","“Sorry! There were some combinations we just couldn’t find. For example, not a single drama with a black trans lead showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)", ,,
None,"Action, Latinx, Trans","“Sorry! There were some combinations we just couldn’t find. For example, not a single action movie with a trans lead of any ethnicity, including white, showed up in all our searches. Hint, hint, Hollywood... If you know of a great film we missed, tweet us @youthradio with #remixthemovies.
” (Source: IMDB)",,,
Okja,"Action, Woman*, Asian","“A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.” (Source: IMDB)",https://www.youtube.com/watch?v=AjCebKn4iic,2017,Seohyun An
Proud Mary ,"Action, Woman*, Black","“Mary (Taraji P. Henson) is a hit woman working for an organized crime family in Boston, whose life is completely turned around when she meets a young boy whose path she crosses when a professional hit goes bad.” (Source: IMDB)",https://www.youtube.com/watch?v=kQ1Zcv54USA,2018,Taraji P. Henson
Real Women Have Curves,"Drama, Woman*, Latinx","“The story of a first generation Mexican-American girl and her passage to womanhood. Although she wants to go away to college, she must battle against the views of her parents, who think she should stay at home and provide for the family. As a compromise, she works with her mother in a sewing factory over the summer and learns some important lessons about life, helping her make a decision about her future.” (Source: IMDB)",https://www.youtube.com/watch?v=vKpDifyDIp0&t=8s,2002,America Ferrera
Saturday Church,"Drama, Woman*, Latinx","“A 14 year-old-boy, struggling with gender identity and religion, begins to use fantasy to escape his life in the inner city and find his passion in the process.” (Source: IMDB)",https://www.youtube.com/watch?v=1xDEIRWpS3w,2017,"Indya Moore, Mj Rodriguez"
Selma,"Drama, Black, Man*","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",https://www.youtube.com/watch?v=x6t7vVTxaic,2014,David Oyelowo
Shanghai Calling,"Drama, Man*, Asian","“A New York attorney is sent to Shanghai on business, where he finds himself in a legal mess that threatens his career. With the help of a relocation specialist and her contacts, he soon learns to appreciate the wonders of Shanghai.” (Source: IMDB)",https://www.youtube.com/watch?v=xKjBRWh5RdE,2012,Daniel Henney
Sicario: Day of the Soldado,"Action, Man*, Latinx","“The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.” (Source: IMDB)",https://www.youtube.com/watch?v=sIMChzE_aCo,2018,Benicio Del Toro
Tale of Tales,"Drama, Woman*, Latinx","“From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.” (Source: IMDB)",https://www.youtube.com/watch?v=-zft6lQUaQ4,2015,Salma Hayek
Tangerine,"Comedy, Black, Woman*",“A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.” (Source: IMDB),https://www.youtube.com/watch?v=ALSwWTb88ZU,2015,Mya Taylor
Tangerine,"Comedy, Woman*, Latinx",“A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.” (Source: IMDB),https://www.youtube.com/watch?v=ALSwWTb88ZU,2015,Kitana Kiki Rodriguez
The Foreigner,"Action, Man*, Asian ","“A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities.” (Source: IMDB)",https://www.youtube.com/watch?v=om9YCk7ufHs,2017,Jackie Chan
The Hate U Give,"Drama, Woman*, Black","“Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.
” (Source: IMDB)",https://www.youtube.com/watch?v=3MM8OkVT0hw,2018,Amandla Stenberg
To All the Boys I've Loved Before,"Drama, Asian, Woman*",“A teenage girl's secret love letters are exposed and wreak havoc on her love life.” (Source: IMDB),https://www.youtube.com/watch?v=555oiY9RWM4,2018,Lana Condor